Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-08,,19416.568359375,,,,,19601.6953125,,,,,19299.4140625,,,,,19546.328125,,,,,16437423167.0,,,
2022-10-09,,19446.42578125,,,,,19542.5390625,,,,,19349.259765625,,,,,19417.478515625,,,,,16837262532.0,,,
2022-10-10,113.66999816894531,19141.484375,1667.300048828125,97.05780792236328,222.7592010498047,116.25,19515.466796875,1693.4000244140625,98.28764108949238,227.91885563531727,112.43000030517578,19102.978515625,1667.0,96.21477718333813,220.3105461386793,115.0999984741211,19446.416015625,1693.4000244140625,98.18846233787536,226.45161389079223,42339700.0,27425022774.0,195.0,18225100.0,29743600.0
2022-10-11,112.20999908447266,19051.41796875,1678.699951171875,96.38339233398438,219.02796936035156,115.4800033569336,19241.9609375,1678.699951171875,98.43642374055914,222.57462096558834,110.38999938964844,18925.603515625,1661.0,95.52052121037734,217.76477330000458,112.70999908447266,19139.0,1661.800048828125,96.6313430235072,221.1753893188512,56432200.0,28711532910.0,167.0,26507100.0,30474000.0
2022-10-12,112.9000015258789,19157.4453125,1670.300048828125,96.7602767944336,219.3583221435547,113.83000183105469,19203.19921875,1672.699951171875,97.94052452401523,221.4085821373912,111.4000015258789,19029.7578125,1668.0,95.94699881751596,217.61900908089987,112.48999786376953,19052.646484375,1668.0,96.50241351977157,219.01822579092038,45728700.0,24950173846.0,149.0,21876400.0,21903900.0
2022-10-13,112.52999877929688,19382.904296875,1670.0,98.24797821044922,227.60797119140625,113.44000244140625,19453.328125,1675.300048828125,98.96207740272202,229.41530962809037,105.3499984741211,18319.822265625,1641.5,93.6063410275305,212.9257798365081,107.87999725341797,19156.966796875,1675.199951171875,94.37003338415455,213.62539567179016,86868100.0,44219840004.0,729.0,34574500.0,42551800.0
2022-10-14,106.9000015258789,19185.65625,1641.699951171875,95.76847076416016,222.08876037597656,114.95999908447266,19889.146484375,1667.0,99.86462094928686,230.5230105633838,106.5999984741211,19115.408203125,1640.0,95.58003338781863,221.87498806713398,114.0999984741211,19382.533203125,1665.300048828125,99.1703544867437,228.87113093564267,67737300.0,38452356727.0,82.0,25410700.0,30198600.0
2022-10-15,,19067.634765625,,,,,19212.541015625,,,,,19019.25,,,,,19185.4375,,,,,16192235532.0,,,
2022-10-16,,19268.09375,,,,,19389.603515625,,,,,19068.9140625,,,,,19068.9140625,,,,,17988916650.0,,,
2022-10-17,113.79000091552734,19550.7578125,1657.0,99.15052795410156,230.80477905273438,114.19000244140625,19635.802734375,1657.0,100.10265774202443,232.1942989747583,110.08999633789062,19173.333984375,1646.800048828125,98.0198733580147,228.4824480465505,110.11000061035156,19268.5625,1650.199951171875,98.04962623156622,229.14320282236488,62782000.0,27472552998.0,238.0,28419200.0,28142300.0
2022-10-18,116.36000061035156,19334.416015625,1649.0,99.94396209716797,231.74732971191406,119.5199966430664,19666.994140625,1655.199951171875,102.62183412414964,237.02358255454533,114.79000091552734,19144.76953125,1649.0,99.15052441894925,228.70594491704173,119.05999755859375,19550.466796875,1651.4000244140625,102.28461724659432,236.35313103627706,65607400.0,30580012344.0,597.0,24060700.0,26329600.0
2022-10-19,115.06999969482422,19139.53515625,1627.5,98.81330871582031,229.78451538085938,116.58999633789062,19348.416015625,1637.5,100.1919139812081,232.82590014122383,113.22000122070312,19127.6875,1627.5,98.10912964670428,227.65651868442322,114.70999908447266,19335.02734375,1637.5,99.19019861679422,230.32865767594038,47198100.0,22425387184.0,84.0,23811100.0,19985700.0
